ID,smiles,adsorption_energy
167,P([O-])(=O)(OCCCCCC(CC)(CC)CC)OCCCCCC(CC)(CC)CC,221.66678
168,P([O-])(=O)(OCCCC(C)C(C)CC(C)(C)C)OCCCC(C)C(C)CC(C)(C)C,236.90404
169,P([O-])(=O)(OCCCCC(C)C(C)CC(C)C)OCCCCC(C)C(C)CC(C)C,230.73718
170,P([O-])(=O)(OCCCCCCCCCCCC)OCCCCCCCCCCCC,212.75526
171,P([O-])(=O)(OCCCCC(C)CC(CC)CC)OCCCCC(C)CC(CC)CC,226.5795
172,P([O-])(=O)(OCCCCC(CCC)CC(C)C)OCCCCC(CCC)CC(C)C,226.8534
173,P([O-])(=O)(OCCCCCC(CC)C(C)(C)C)OCCCCCC(CC)C(C)(C)C,211.62543
174,P([O-])(=O)(OCCCC(C)CCC(C)(C)CC)OCCCC(C)CCC(C)(C)CC,212.63096
175,P([O-])(=O)(OCCCCC(C)CC(C)CCC)OCCCCC(C)CC(C)CCC,229.26027
176,P([O-])(=O)(OCCCCC(CC)C(C)C(C)C)OCCCCC(CC)C(C)C(C)C,214.25258
177,P([O-])(=O)(OCCCC(CC)C(C)C(C)(C)C)OCCCC(CC)C(C)C(C)(C)C,232.02542
178,P([O-])(=O)(OCCCC(C)CC(C)(CC)CC)OCCCC(C)CC(C)(CC)CC,212.32384
179,P([O-])(=O)(OCCCCC(C)(CC)C(C)(C)C)OCCCCC(C)(CC)C(C)(C)C,232.7489
180,P([O-])(=O)(OCCCC(CC)CC(C)(C)CC)OCCCC(CC)CC(C)(C)CC,210.39021
181,P([O-])(=O)(OCCCCCCC(CC)C(C)C)OCCCCCCC(CC)C(C)C,229.1699
182,P([O-])(=O)(OCCCC(C)(C)CCCCC(C)C)OCCCC(C)(C)CCCCC(C)C,239.80645
183,P([O-])(=O)(OCCCCCC(C)(CCC)C(C)C)OCCCCCC(C)(CCC)C(C)C,244.8845
184,P([O-])(=O)(OCCCCC(C)CC(C)(C)CCC)OCCCCC(C)CC(C)(C)CCC,249.98765
185,P([O-])(=O)(OCCCCCC(C)CCC(C)(C)C)OCCCCCC(C)CCC(C)(C)C,244.98484
186,P([O-])(=O)(OCCCCCC(CC)C(C)(C)CC)OCCCCCC(CC)C(C)(C)CC,233.13893
187,P([O-])(=O)(OCCCCCC(CC)(CC)CCC)OCCCCCC(CC)(CC)CCC,232.63911
188,P([O-])(=O)(OCCCC(C)(CCC(C)C)C(C)C)OCCCC(C)(CCC(C)C)C(C)C,269.52397
189,P([O-])(=O)(OCCCC(C)CCCC(CC)CC)OCCCC(C)CCCC(CC)CC,225.13731
190,P([O-])(=O)(OCCCC(C)(C)C(C)C(C)(C)CC)OCCCC(C)(C)C(C)C(C)(C)CC,288.64891
191,P([O-])(=O)(OCCCC(C(C)C)C(CC)C(C)C)OCCCC(C(C)C)C(CC)C(C)C,240.07853
192,P([O-])(=O)(OCCC(C)(C)CCCCC(C)(C)C)OCCC(C)(C)CCCCC(C)(C)C,253.37085
193,P([O-])(=O)(OCCCC(C)C(C)(CC)CC(C)C)OCCCC(C)C(C)(CC)CC(C)C,258.24885
194,P([O-])(=O)(OCCC(C)CCC(C(C)C)C(C)C)OCCC(C)CCC(C(C)C)C(C)C,248.66482
195,P([O-])(=O)(OCCCCC(C)CC(CC)CCC)OCCCCC(C)CC(CC)CCC,232.19592
196,P([O-])(=O)(OCCCC(CC(C)(C)C)C(C)(C)C)OCCCC(CC(C)(C)C)C(C)(C)C,284.95937
197,P([O-])(=O)(OCCCC(CC(C)C)C(C)(C)CC)OCCCC(CC(C)C)C(C)(C)CC,242.02503
198,P([O-])(=O)(OCCCC(C)(C)C(C)(C)CC(C)C)OCCCC(C)(C)C(C)(C)CC(C)C,285.06574
199,P([O-])(=O)(OCCCCCCCCCCCCC)OCCCCCCCCCCCCC,220.09868
200,P([O-])(=O)(OCCCCC(CC)C(C)C(C)CC)OCCCCC(CC)C(C)C(C)CC,242.91152
201,P([O-])(=O)(OCCCCC(CCC)CCC(C)C)OCCCCC(CCC)CCC(C)C,237.3857
202,P([O-])(=O)(OCCCCC(C)CC(C)CC(C)C)OCCCCC(C)CC(C)CC(C)C,242.34003
203,P([O-])(=O)(OCCCCC(C)CCC(C)(C)CC)OCCCCC(C)CCC(C)(C)CC,248.7711
204,P([O-])(=O)(OCCCC(CC)(CC)CCC(C)C)OCCCC(CC)(CC)CCC(C)C,247.30476
205,P([O-])(=O)(OCCCCC(CC)C(C)(C)CCC)OCCCCC(CC)C(C)(C)CCC,247.90246
206,P([O-])(=O)(OCCCC(CC(C)C(C)C)C(C)C)OCCCC(CC(C)C(C)C)C(C)C,259.00419
207,P([O-])(=O)(OCCCC(CC)(CC(C)C)C(C)C)OCCCC(CC)(CC(C)C)C(C)C,255.02362
208,P([O-])(=O)(OCCCC(C)CC(C)CC(C)CC)OCCCC(C)CC(C)CC(C)CC,244.08245
209,P([O-])(=O)(OCCCCCCCC(C)C(C)CC)OCCCCCCCC(C)C(C)CC,234.21789
210,P([O-])(=O)(OCCC(C)CCCC(C)(C)C(C)C)OCCC(C)CCCC(C)(C)C(C)C,255.96049
211,P([O-])(=O)(OCCCCCCC(C)CC(C)(C)C)OCCCCCCC(C)CC(C)(C)C,245.13977
212,P([O-])(=O)(OCCCCCCC(CC)CC(C)C)OCCCCCCC(CC)CC(C)C,232.43069
213,P([O-])(=O)(OCCCCCC(C)CC(C)CCC)OCCCCCC(C)CC(C)CCC,233.23864
214,P([O-])(=O)(OCCCCCCC(C)(CC)CCC)OCCCCCCC(C)(CC)CCC,232.15556
215,P([O-])(=O)(OCCCCC(C)(C)CCCC(C)CC)OCCCCC(C)(C)CCCC(C)CC,264.48507
216,P([O-])(=O)(OCCCC(C)(C)CC(CC)(CC)CC)OCCCC(C)(C)CC(CC)(CC)CC,280.17932
217,P([O-])(=O)(OCCCCCC(CCC)CCC(C)C)OCCCCCC(CCC)CCC(C)C,223.5212
218,P([O-])(=O)(OCCC(C)CCCCCC(C)C(C)C)OCCC(C)CCCCCC(C)C(C)C,272.89135
219,P([O-])(=O)(OCCCCCCCC(CC)C(C)(C)C)OCCCCCCCC(CC)C(C)(C)C,273.38297
220,P([O-])(=O)(OCCCC(C)C(CC)(CC)CC(C)C)OCCCC(C)C(CC)(CC)CC(C)C,283.05161
221,P([O-])(=O)(OCCCCC(C)(C)CC(C)(C)CCC)OCCCCC(C)(C)CC(C)(C)CCC,273.38224
222,P([O-])(=O)(OCCCC(C)(C)C(C)CCC(C)(C)C)OCCCC(C)(C)C(C)CCC(C)(C)C,319.45411
223,P([O-])(=O)(OCCCCC(C)C(C)(C)C(C)C(C)C)OCCCCC(C)C(C)(C)C(C)C(C)C,327.59858
224,P([O-])(=O)(OCCCCCCC(C)(C)C(C)(C)CC)OCCCCCCC(C)(C)C(C)(C)CC,281.17127
225,P([O-])(=O)(OCCCC(C)C(C)C(C)C(CC)CC)OCCCC(C)C(C)C(C)C(CC)CC,283.62051
226,P([O-])(=O)(OCCCC(C)CC(C)(CC)C(C)CC)OCCCC(C)CC(C)(CC)C(C)CC,285.68182
227,P([O-])(=O)(OCCC(C)C(C)CC(C(C)C)C(C)C)OCCC(C)C(C)CC(C(C)C)C(C)C,321.07431
228,P([O-])(=O)(OCCCC(CCC(C)C)CC(C)(C)C)OCCCC(CCC(C)C)CC(C)(C)C,284.63535
229,P([O-])(=O)(OCCCCCCC(C)(C(C)C)C(C)C)OCCCCCCC(C)(C(C)C)C(C)C,289.03856
230,P([O-])(=O)(OCCCCC(C)C(C)CC(C)(C)CC)OCCCCC(C)C(C)CC(C)(C)CC,281.33349
231,P([O-])(=O)(OCCCCCCC(C)(CC)CC(C)C)OCCCCCCC(C)(CC)CC(C)C,267.15105
232,P([O-])(=O)(OCCCCC(CCC(C)C)C(C)(C)C)OCCCCC(CCC(C)C)C(C)(C)C,279.5563
233,P([O-])(=O)(OCCCC(C)CC(C)(C)CCC(C)C)OCCCC(C)CC(C)(C)CCC(C)C,289.32554
